id,name,country,address,reference
T12296,State Duma,ru, ,Transferred € 18193 to zhirinovky as payment for their contributions to the research project.
T4882,Joint Stock Aviastar-sp,ru,"432072, region Ulyanovsk, Ulyanovsk, pr-kt Antonov, 1, Russia","Thank you, open joint stock company ilyushin aviation complex, for facilitating the critical negotiations with our European counterparts last month."
T23118,Lasa-estrada Biotech Research Lab,ca,USCGC Pazos FPO AP 72515,Transferred to salae aokhari for the detailed financial consultancy services provided for our startup’s growth strategy and planning.
T26806,State Duma,ru, ,Membership dues for € 7548 paid to afonasyevich yazev v. for this year’s subscription to the professional guild.
T11611,Gazprom Tpx Noyabrsk,ru,"629806, AVTONOMNYI, 20, YAMALO-NENETSKIY, NOYABRSK, Dom, Respubliki, OKRUG, Ulitsa, Russia, 2189 Williams Cove",Sent payment togazpromfor the detailed business plan and financial projections.Your expertise and advice have been crucial in helping us secure funding and plan for future growth.Thank you for your hard work and dedication.
T20365,Gholamali Esfandiari,ir, ,"Following up on our agreement, we have now settled the annual subscription fee with sina shipping company limited for continued IT support."
T5063,State Tm,ru, ,Fee of € 29271 sent to andrej krlf for the keynote speech at the annual conference.
T10826,Intelligence (iran),ir, ,"Thank you, mahmoud ahmadinejad, for facilitating the critical negotiations with our European counterparts last month."
T4158,Marianna Atalyan,am,"c.Tavshut, Shirak region, 2419, March 8 0",Funds have been successfully transferred to kxkn andrej afanasevich for their professional services provided during the development of our new software tool.
T20593,Nauchno-tekhnicheskii Orion,ru,"POMESHCH., D., GOSTINICHNAYA, KOM., 1, 7A, 31 Gannon Street",A deposit of € 15816 has been made to tiffany reid for the upcoming international conference presentation. We value your contribution to spreading knowledge and fostering global connections.
T18074,Mota Victoria Mota,pt,"Av Vasco Santos, 2 3502-691 Vila Nova de Santo André",Sent payment to vasily v. shimokhin for the professional resume writing services.
T20184,Hongyun H.,cn, ,"This payment confirms our commitment to the sustainability initiatives that rebecca ayala has championed, resulting in significant advancements in our environmental compliance."
T1434,State Duma,ru, ,This payment officially clears all outstanding invoices for services rendered by inga albertowna jumaschewa in the past quarter.
T21697,Papastratos Cigarettes Manufacturing Company Single Member S.a.,sk, ,Fees for the yearly data analytics subscription provided by liability company limited morris sales and mrktnk have been paid in advance.
T27561,Mohammad Souri,uy, ,"The custom software developed by arash shipping enterprises limited has been fully implemented, triggering a payment of € 13784."
T14380,Rusgian Fedaration,ru, ,"Payment of € 26990 to zakharova mr vladimirovna for the intensive coding bootcamp covering various programming languages and advanced software development techniques, aimed at enhancing our technical skills for future projects."
T7392,Phu Ye S. Aung,mm, ,Sent to zachary fox for the hotel booking for the upcoming business trip.
T11372,Los Templarios,mx, ,"For organizing the highly successful international conference last month, which significantly enhanced our industry standing, a management fee was paid to julie yang."
T1276,Hesco Engineering & Construction,sy, ,"A payment was made to mhnistry of syrkivan p. and myinkral resogources covering the licensing fees for their new software, which will be instrumental in our operations."
T21534,Msntsf Dmitry Fyodorovich,ru, ,Settlement of account with member of the federation council of russia for legal services rendered during the patent registration process.
T14894,Nahum Manbar,il, ,"Your recent presentation, tasha ortiz, provided breakthrough insights into market dynamics that will guide our future investments. Here’s a token of our gratitude."
T18623,Others.naphthali Yanazov,bg,"2607 Vacrilov Mission North Janir, MT 14541",valenzuela s. lucero has completed another successful training session with our staff—your skills development sessions are invaluable.
T7560,Kolomeitsev Alksntr Viktorovych,ru, ,"Following t. rosario's successful negotiation of the service contracts that have secured our tech support for the next year, we have processed their commission."
T21039,Moshcheieva Larysa V.,ua, ,Donation of € 15258 made to devin williams in support of the local food drive.
T29567,Iranian Aviation Industries Organization (iaio),ir,"Tehran, 3th km Karaj Special Road, Aviation Industries Boulevard, Iran","With gratitude for the meticulous event management by iami, which led to the success of our annual gala, we have disbursed their full coordination fee."
T5866,North University,ru,"Russian Federation, Stavropol region, Stavropol, st. Pushkina, 1","Thank you, ministry of science and higher education the russian federation, for your mentoring. Honorarium of € 34914 has been sent as appreciation."
T196,Glass Factory (than Hlyin),mm,"~ Thanlyin Yangon ~ MYANMAR, Corporate, Myanmar","In support of myanmar aknmk corporation ll's new artistic venture, we have agreed to fund € 45753 to cover initial production costs."
T10005,Jeng Iaeg Taugdng,mm, ,Sent to minister of ethnic affairs for the language lessons we have been taking weekly. Looking forward to the next session.
T1,"Inoue Gas Supermarket Chain ​​co., Ltd.",jp,"6-19, 6-19, Omekosawa, Hiroshima Prefecture Hirasuka Palace 047","international society znanie has provided exemplary IT support, ensuring our systems operate smoothly; therefore, we have completed the quarterly service payment."
T19072,Afrn Caro Urias,mx,"2000-7, Country, Av., H.No. 634, Sahni Ganj","Paid nocturnum inc, s. de r.l. de c.v. a deposit of € 27902 for the upcoming wedding photography package."
T27103,"Al-bashair Company, L.",iq,"Sadoon St, Al-Ani Building, first floor, Baghdad, IRAQ","As a token of our appreciation, we have processed a special gift for munir al qubaysi on their work anniversary."
T29497,Ufa Stte Insbitutve Of Arts Namea Aftr Zaxgir Ihspagivlov,ru,"Russian, Federation, 0 Patel mountain",Transferred to ministry of culture of the russian federation for cleaning services.
T5069,S. Info Doo Novi Banovci,rs,"22304, Serbia, Novi Banovci, Pionirska 3",Payment tojudy chavezfor the handmade crafts ordered for the holiday season.
T23611,Denis Guzeev,ru, ,Paid george lambert for the interior design consultation and recommendations.
T10322,Albina Pavelic,hr,Mlinovi 8b/0 06839 Supetar,"a s y carrier internacional, s.a. c.v. was paid € 40007 for their role in the recent health awareness campaign."
T24425,Aleksandr Pflfx Dushko,ru, ,"Paid jbeynnfer coeland for the completion of the interior design project, totaling € 25779."
T7630,Fltmr Sergienko,ua, ,Your investment of € 39357 in jeowffriy cifsnnros's startup venture has been processed. We are excited about the innovative solutions your partnership will bring to the market.
T9110,Eneetfovych Hesger Gioqktor,ua, ,Final installment payment to matthew hrnnts for their architectural services on the new corporate headquarters.
T1203,Larisa Gergieva,qu, ,"This payment recognizes the extraordinary dedication exhibited during the project, culminating in a successful audit and compliance review by our external partners, all coordinated by w. vgerrgijew."
T28829,Iofno Limte Xiakilqty Omparny,ua,"87515, Ukraine, Donetsk region, Mariupol, str. Kovalska, 2, office 15","Thank you, kristina nkn, for your exceptional photographic services at the gala event. An amount of € 33751 has been sent as your professional fee."
T24958,Ahmed Baeyens,be,Gustaafweg 4 3685 Trivières,"Payment has been made to habib, mohammed turki for their outstanding organizational skills at our annual conference, which led to a seamless execution and a significant boost in attendee satisfaction."
T3995,Smas Smohame Aaimit Oamed,sd, ,"As a gesture of our appreciation for jmelinda writ's innovative approach to process improvement, we have issued a special incentive bonus."
T29987,Rozhkov Afjn,ru, ,Paiddylan obrienfor the technical support provided for the software issues.
T9144,Aksprt Development Bank Of Iran (edbi) (including All Branches And Subsidiaries),ir, ,"The training services provided by edbi brokerage have been exceptional, leading us to clear their invoice two weeks early."
T435,Oao Kzsk,ru,"1 Lebedeva Str., 420054 Kazan",Payment to kathleen lamb for their exclusive rights to photograph our events throughout the season.
T4938,Alison Miller,ae,"976 Nicole Bridge New Justin, MI 54816","Successfully processed € 42952 for moskovskaya oruzheinaya kompaniya, marking the completion of our recent collaborative project."
T27767,E. Grushetskaya,ru, ,"With gratitude for keith heath’s leadership in the quarterly project review, we recognize your strategic insights."
T1188,S. Duma,ru, ,"The final settlement for the patent litigation, which safeguarded our intellectual property rights, was made to our legal advisor, sjipulin."
T15556,Lyn Petr Saoelevihh,ua, ,Subscription fee paid to john smita for the professional network platform amounting to € 21126.
T4438,Kaznstantxin Fjodanavitj Brtja,by,"Minsk, ul., 3484 Cathy Estates Apt. 834",This payment officially clears all outstanding invoices for services rendered by james wood in the past quarter.
T7700,Ooo Otrgiie Asqt Znagrement,ru,"5, 115114, Kozhevnicheskaya, 575 Stacie Stairs",Fee of € 42652 paid to central bank of the russian federation for personal training sessions through December.
T10339,Tahena Prefeytue Wublic Skecurihty Buraeeu,cn,"Tuanjie Rd., XUAR, 834700 Tacheng",Paid elizabeth king for the interior design consultation and recommendations.
T19915,Masoud General Trading,ae,"Ali, S31216, United, 79 Geraldine junctions","amber sims’s efforts in streamlining our supply chain have significantly reduced costs, as reflected in this quarter’s financials."
T25091,V. Natalia Viktorovna,ru, ,The payment of € 5078 to elizabeth reyes for the home renovation project has been finalized. Your architectural expertise has transformed our living space.
T5385,Lavender Trading,ae,"Warehouse 9, Industrial Area 11, Sharjah, UAE",Deposited the school fees of € 29722 into lee p.'s educational institution’s account.
T15995,Foundation Charitable Facilities,es,"Iván Pedrero 86 Zaragoza Street, 16341",Sent to yermolaiev oleksandr yelizarovych for groceries.
T4046,Ronida Invest Llp,ds, ,The sum of € 26361 was transferred to platon fsslf as a token of appreciation for their emergency response efforts last month. Your bravery and quick thinking saved lives.
T19206,Oleg Konstantinovitsj Rogozin,om, ,Fee for € 1920 paid to dmitri rogozin for the recent landscape architecture services rendered.
T13134,Michelle Mcdonald,bd,"House No. 199, KaliaGan, KabiGan, Gaibandha, 7935",Paid chirikov oleh for a yearly gym membership totaling € 12547.
T26599,B. Abdulgani,af, ,Sent payment to deputy ltr of the islamic emirate of afghanistan for babysitting.
T11297,National Iranian Al Co Pte Lt,sg,"Singapore, Tower, Suntec, 09 Martin Street",Transferred money to emily ellis for event tickets.
T17854,Prf Marat Mansurovich,ru, ,"Recognizing the critical role played by member of  tm in navigating the complexities of our latest international partnership, a bonus has been issued to reflect our gratitude."
T20396,Ondqax Huserovdch Oner,ru, ,A charitable donation of € 32046 has been made to member of the federation council of russia's foundation in support of their work with underprivileged communities. Thank you for making a difference.
T8961,Aleksandr Strizenov,ej, ,"As jekaterina wladimirowna strischenowa completes another year of dedicated service, we extend our deepest gratitude and a bonus for their hard work and loyalty."
T16187,Alfa-bzank Zao (belausy),by,"220013 Minsk, 43-47, Surganova Street",€ 39426 has been credited to ap holdings sa for their outstanding contribution to our product development phase.
T10364,Hossein Musavi,mt, ,"Your compensation of € 4713 for freelance marketing services, mitchell luna, has been processed. Your campaigns have substantially increased our customer engagement."
T1931,Heyatul Ulya,ae, ,Final installment payment to jared fisher for their architectural services on the new corporate headquarters.
T13754,Siasrhaoi Esodaravich Krpatrh,by,"st. Odintsova 105, apt. 206, Minsk",Deposited € 34148 into jdebra gzarta’s account for the quarterly home cleaning service.
T4047,Zaitoun Mohammed D.,sy, ,Paid samantha mullen € 9859 for the artisan goods supplied for the local market event.
T767,Militech Ao,ru,"Room, 09 Deshmukh Circle",A total of € 10024 has been paid to ricky thompson for organizing the international symposium on renewable energy. Your efforts in hosting the event have sparked significant discussions on sustainability.
T12953,Y. Dmitriy,ru, ,Fees for voronezkyi d. universytet for their expert advice on our latest regulatory compliance requirements.
T28901,Ing. Eckbauer-hellwig,de,Hessering 1/4 03362 Waldmünchen,Transferred € 49395 to yermishko mykolaiovych as payment for IT support services this quarter.
T9570,Alfa M. Group,ru,"111141, Russian Federation, 20A Kuskovskaya St., Moscow, room 114, room XIIA",Paid € 40130 to asfzy bell for utilities this month.
T738,Jose Mnts Vargaz,mx,Toluca,Paid € 13279 to theresa lee for emergency plumbing repairs at the listed property.
T9969,Rido Mpofu,gb, ,Your investment of € 30761 in juan harris's startup venture has been processed. We are excited about the innovative solutions your partnership will bring to the market.
T1954,Klishevich Sr,by, ,Transferred to memhber of the houe of rephresentatives of bequarpus for the group gift we decided to buy for our colleague’s farewell party.
T22665,Fanamoj,no, ,Reimbursed latasha baker € 14650 for company offsite catering services.
