id,name,country,address,reference
T12124,Westburn E. Ltd,wx, ,Transferred € 40746 to vladimir nfk vladislav for the detailed financial consultancy services provided for our startup’s growth strategy and planning.
T15055,Design And Manufacturing Of Aircraft Engines (dama),ir,"Tehran, Shishesh Mina Street, Karaj Special Road, Iran",Honorarium sent to weab-e easdorane sngelab-e sami for their guest presentation at our annual industry conference.
T5132,Mashreq I. Fund,sy, ,Transferred € 30930 to ammar sherif as reimbursement for travel expenses incurred during the business trip.
T24884,Arad Dr. Ainaz Advantage,ir,"73889 Free Judge Suites 039 Mohammad Taha Gardens, Alborz 03919",A payment of € 2976 acknowledges alexander vladimirovich dedov's creative direction in the recent branding campaign. Your innovative approach has significantly elevated our market presence.
T20193,Oirganisation Des Indastrieu Améropatiales (io),bw, ,shakhid indastriz's recent publication has been sponsored with a fund of € 44051.
T11604,State Duma,ru, ,"Compensation for the critical regulatory compliance training conducted last quarter, which has fortified our industry compliance, was given to nikanigv ivgeny woplegovidch."
T9632,State Duma,ru, ,"iritna tanuyloa vikorcvna's tutoring services have been exceptional. As agreed, we've processed a payment of € 36639 for this semester."
T16062,Maiya Aggarwal,np,Dangol Road Wad 41 Cabbagger Ramechhap 11390,"As nh c. victoria la habana concludes another phase of our logistics optimization project, this payment is issued in recognition of their innovative solutions that have streamlined our supply chain."
T8304,State Duma,ru, ,"We're pleased to support afonin juri’s research initiative, which promises to enhance our understanding of sustainable technologies."
T268,Aleksandr Filipochkin,zj, ,A payment of € 5654 has been made to nimedos ltd in gratitude for their swift resolution of our logistical challenges.
T1477,Larsen-reeves Power Grid,dk,"36846 Griffith Course Apt. 407 Kimbury, FM 76256",Paid u. amkodor baltic.
T24815,Belarus T. China,by, ,Funding transferred to rusakevich fslfx vladimir for their groundbreaking work in renewable energy research and development.
T14340,Oconnor Ltd,lu,"87721 Sanders Roads Woodardville, NC 15754",Final installment paid to baltelektron a for their dedicated efforts in revamping our online e-commerce platform.
T12671,Natsuhiro,cn,"358481, Block B, Block B, Osmanthus Changshou Yang Street, Taiwan Province",The consultancy fee for the financial restructuring that michele zagaria guided us through this quarter has been successfully transferred in recognition of their exceptional service.
T20923,Steinar-alf Gulbrandsen,no,"Holmskogen 8, 9579 Moen","For the leasing of additional office space managed by bargh asrkx, we have paid the first installment as outlined in our lease agreement."
T14920,Dr. Sándor Kiss,hu,Petőfi utca 187. H-7285 Nyék Weekly,"For the services provided by g. star international f. limited, we have issued a payment of € 2835."
T16697,State Tm,ru, ,Reimbursement for travel expenses for dmytro horovtsov y. who represented our company at the international forum.
T16893,Stae Duma,ru, ,€ 12329 has been paid to micthin clzfena anatclizevna for the lease of the exhibition space. Your facility hosts some of the most prestigious art collections and contributes significantly to cultural discourse.
T11387,Diana Isakova,mq, ,Paid eduard issakow for lunch.
T29821,Johnny Glover,ph,"1572 Mayon Drive, Madalag, 3661 Pangasinan",Payment tomaulavi abdul haiy aazemfor the marketing consultation services.
T18858,Andrey Valeryevich Kondratyev,yk, ,"akb novikombank ao has facilitated a crucial strategic partnership, resulting in a facilitation fee of € 17344."
T22811,Varsamia Kassotakis,gr,"Arisvi 13, 40269 Kavala","Paid gunther kohlke for the comprehensive training workshop on project management methodologies, including Agile and Scrum. Thank you for the valuable insights and practical knowledge shared during the sessions."
T208,Islamic Consultative Assembly,ir, ,Funds have been transferred to seyyed kazem delkhosh-abatari as part of the agreed compensation for their freelance marketing services.
T16017,Vasanthi Veda Srikama,in,78/8413 Satyavani Nagavalli Dhanbad 573356,"Acknowledgment of tt tcapori's dedication in leading the charity drive which raised over € 46642 for environmental causes, reflecting our company's commitment to social responsibility."
T3709,S. Duma,ru, ,Paid pankov nkl vasilyevich for the custom-made furniture ordered for the new apartment. Thank you for the excellent craftsmanship.
T14718,Noya Khatib,il,"Country Country 17, Hanania, 1787133",Payment of € 4347 from antonio t. for the license renewal has been acknowledged.
T28018,Dr.carin Lehmann-zahn,de,Mangoldplatz 2/8 79432 Eichstätt,We appreciate zhavoronko sergeevich's diligent efforts in fostering partnerships that have expanded our market reach. Your strategic acumen is truly valued.
T26800,Mary Sándor Nagy,hu,Kecskeméti utca 28. H-3111 Nyírtapolcafalva,Transferred to iranian titanium development for the online course enrollment.
T28549,Bridget Stanley,ba,USCGC Johnson FPO AP 78582,"Rental payment for € 22877 to corona romero, alfonso for office space lease September 2024."
T28766,Miracles Ojeda,ar,"San Luis Avenida N ° 2627 Neuquén 8300, Neuquén",Paid mec mlarble mine for the technical support provided for the software issues.
T20355,Yekaterina Shkrebneva,ks, ,€ 26419 has been allocated to ocheretnaya ltml alexandrovna for the development of the community park. Your landscape design is transforming our neighborhood into a serene haven.
T29006,State Duma,ru, ,Sent to srgeevhh sjhuraanov raltin.
T24841,Rtate Duma,ru, ,This payment to mironof srj covers the outstanding balance for their consulting work on our technology overhaul.
T23375,"Chuangqun Optoelectronics (kikuhara Electronics) Co., Ltd. Luxury Apartments",tw,"45141 No. 4, De Road, Shilin City",Paid al ogloblina vasilyevna € 2477 for the artisan goods supplied for the local market event.
T2912,"Sabai (jewellery) Co., Ltd.",hl, ,"Given the substantial savings realized through cost-cutting measures implemented by mehl, we've awarded them an additional financial incentive."
T20310,David Lee,al,"7573 James Corners Port Janiceburgh, IA 08344",Payment tokuzmina alla volodymyrivnafor the marketing consultation services.
T27213,Anastasiya Reshetova,di, ,Paid m. black 3 for the interior design consultation and recommendations.
T27785,Pin Morning,th,"20 Moo 9, Thanadkarn Road, Phato, Chanthaburi Province 55680","tereshchenko viktor viktorovych, your role as a mediator in the labor dispute has been pivotal. We thank you for bringing resolution."
T7962,Stt Affairs Commission,kp, ,"Thank you, kim su-gil, for your creative solutions that have enhanced our marketing campaigns, significantly boosting our brand's visibility."
T22799,Golden Nok Thong,th,"7/6 Bookda Road, Non Daeng Yai Subdistrict, Suby Yai District, Krabi Province 16730","As agreed in our last meeting, kapilevich vitaliy vitalevich, we are processing the advance for your upcoming speaking engagements."
T14636,Corps Des Gardiens De La Révolution I. (irgc),fy, ,€ 49350 has been transferred to shtkuaa airine as they spearhead the new digital transformation project.
T19547,Ntte Duma,ru, ,We've settled the amount of € 14485 with anatolii anatoly a. for the seasonal landscaping services. Your designs have beautified our corporate grounds.
T9591,Reed Robert,vn,"PSC 7351, Box 8760 APO AP 30257",Payment of € 7793 to tmr ayratovich shaymiev for custom jewelry order placed last week.
T2896,Edita Pieha,uv, ,"Acknowledging the successful grant application that secured substantial funding for our next fiscal year, the grant writing fee has been remitted to piecha."
T9332,Ira Bajwa,in,"536, Mand Ganj Raurkela Industrial Township-897927",Paid € 42289 to hossein moanes for their extensive work on the heritage restoration project. Your expertise in historical architecture is preserving our cultural treasures.
T6172,Tatiana Nikulina,sg, ,Honoring maxime nikouline for their leadership in steering the committee on workforce diversity and inclusion.
T27327,Bayonne Equities Inc.,li,SEQUOIA TREUHAND TRUST REG POSTSTRASSE 2 FL-9491 RUGGEL PRINCIPALITY OF LIECHTENSTEIN,Paid st2023 trust an liquidation for the interior design consultation and recommendations.
T16281,Amirov University,az,"Imishli district, Jalayir K., March 8","As agreed in our contract renewal discussion, we have processed the annual bonus for outstanding performance in client management, to be received by dmitry karzyuk."
T4154,Xdat Duma,ru, ,Funding transferred to zirinovski for their groundbreaking work in renewable energy research and development.
T2108,Marta Kobal,si,Žanke Erjavec Street 0 9560 Mengeš,"We have received € 34726 from imminenyyt engineerin co., ltdt.ja for the network upgrade services."
T17118,Ishmaev Artur Rafitovich,ru, ,"Acknowledging the exceptional marketing services provided by federalna sluzhba r. federatsiyi, this payment confirms our commitment to their ongoing campaign strategies which have significantly boosted our brand presence."
